gender,SeniorCitizen,tenure,Contract,MonthlyCharges,TotalCharges,Churn,CustomerSegment,ChurnProba,RiskCategory
Female,1,56,One year,110.5,6139.5,No,High Value,0.12678592,Low Risk
Female,0,46,One year,55.65,2688.85,No,Medium Value,0.053333014,Low Risk
Female,0,8,Month-to-month,54.65,482.25,No,Low Value,0.12727602,Low Risk
Male,1,30,Month-to-month,74.75,2111.3,No,Medium Value,0.140558,Low Risk
Female,0,45,One year,25.9,1216.6,No,Medium Value,0.020199092,Low Risk
Female,0,1,Month-to-month,79.35,79.35,Yes,Low Value,0.92114025,High Risk
Female,0,11,Month-to-month,50.55,565.35,No,Medium Value,0.14900565,Low Risk
Female,0,7,Month-to-month,75.15,496.9,Yes,Medium Value,0.6762916,High Risk
Female,0,42,Month-to-month,103.8,4327.5,No,High Value,0.22794034,Low Risk
Female,0,49,Two year,20.15,973.35,No,Low Value,0.0034713864,Low Risk
Male,0,9,Month-to-month,99.3,918.75,No,Medium Value,0.93569094,High Risk
Female,0,35,One year,62.15,2215.45,No,Medium Value,0.030543,Low Risk
Female,0,48,Two year,20.65,1057.0,No,Low Value,0.0058337487,Low Risk
Female,0,46,Two year,19.95,927.1,No,Low Value,0.0026290158,Low Risk
Male,0,29,Month-to-month,33.75,1009.25,No,Low Value,0.28962478,Low Risk
Male,0,30,Month-to-month,82.05,2570.2,No,Medium Value,0.19893093,Low Risk
Male,1,1,Month-to-month,74.7,74.7,No,Low Value,0.2127233,Low Risk
Male,0,66,Two year,84.0,5714.25,No,High Value,0.0047391863,Low Risk
Female,0,65,Month-to-month,111.05,7107.0,No,High Value,0.038988505,Low Risk
Male,0,72,Two year,100.9,7459.05,No,High Value,0.08263504,Low Risk
Female,0,12,Month-to-month,78.95,927.35,Yes,Medium Value,0.5850567,Medium Risk
Male,0,71,One year,66.85,4748.7,No,High Value,0.0118075,Low Risk
Male,0,5,Month-to-month,21.05,113.85,Yes,Low Value,0.17716908,Low Risk
Male,0,52,Two year,21.0,1107.2,No,Medium Value,0.03449905,Low Risk
Female,1,25,Month-to-month,98.5,2514.5,Yes,High Value,0.7507342,High Risk
Male,0,1,Month-to-month,20.2,20.2,No,Low Value,0.3348729,Low Risk
Female,0,1,Month-to-month,19.45,19.45,No,Low Value,0.36837542,Medium Risk
Male,0,38,One year,95.0,3605.6,No,High Value,0.0554276,Low Risk
Female,1,66,One year,45.55,3027.25,No,Medium Value,0.04558551,Low Risk
Male,0,68,Two year,110.0,7611.85,Yes,High Value,0.39374122,Medium Risk
Male,0,5,Month-to-month,24.3,100.2,No,Low Value,0.22342339,Low Risk
Female,0,72,One year,104.15,7303.05,No,High Value,0.041969858,Low Risk
Female,0,32,One year,30.15,927.65,No,Medium Value,0.028658694,Low Risk
Male,0,43,One year,94.35,3921.3,No,High Value,0.17658934,Low Risk
Male,0,72,Two year,19.4,1363.25,No,Medium Value,0.0038184717,Low Risk
Male,0,55,Month-to-month,96.75,5238.9,Yes,High Value,0.38438174,Medium Risk
Female,0,52,One year,57.95,3042.25,No,Medium Value,0.02589819,Low Risk
Female,0,43,Month-to-month,91.65,3954.1,No,High Value,0.11423081,Low Risk
Female,1,37,Month-to-month,76.5,2868.15,Yes,Medium Value,0.6564799,High Risk
Female,0,64,Two year,54.6,3423.5,No,High Value,0.07324176,Low Risk
Male,0,3,Month-to-month,89.85,248.4,No,Medium Value,0.18895762,Low Risk
Female,0,36,Two year,31.05,1126.35,No,Medium Value,0.02418268,Low Risk
Female,0,10,Month-to-month,100.25,1064.65,Yes,Medium Value,0.9021126,High Risk
Female,0,41,Two year,20.65,835.15,No,Low Value,0.0022691535,Low Risk
Male,0,27,Month-to-month,85.2,2151.6,No,Medium Value,0.20120348,Low Risk
Female,0,56,One year,99.8,5515.45,No,High Value,0.20974624,Low Risk
Female,0,6,Month-to-month,20.7,112.75,No,Low Value,0.051071897,Low Risk
Male,0,3,Month-to-month,74.4,229.55,Yes,Low Value,0.81448394,High Risk
Female,0,7,Month-to-month,50.7,350.35,No,Low Value,0.2041282,Low Risk
Female,0,4,Month-to-month,20.85,62.9,No,Low Value,0.16823153,Low Risk
Male,0,33,Two year,88.95,3027.65,No,High Value,0.020406429,Low Risk
Female,1,27,Month-to-month,78.05,2135.5,Yes,Medium Value,0.4951144,Medium Risk
Male,0,72,Two year,23.55,1723.95,No,Medium Value,0.0027492414,Low Risk
Male,0,1,Month-to-month,19.75,19.75,No,Low Value,0.35363683,Medium Risk
Male,1,71,One year,56.45,3985.35,No,High Value,0.057690732,Low Risk
Female,0,13,Month-to-month,85.95,1215.65,No,Medium Value,0.4801824,Medium Risk
Female,0,25,Month-to-month,58.6,1502.65,Yes,Medium Value,0.5261575,Medium Risk
Male,0,67,Two year,50.55,3260.1,No,Medium Value,0.0064357845,Low Risk
Male,0,1,Month-to-month,35.45,35.45,Yes,Low Value,0.93139744,High Risk
Male,0,2,Month-to-month,44.35,81.25,Yes,Low Value,0.5726207,Medium Risk
Female,0,43,Two year,25.7,1188.2,No,Low Value,0.023638403,Low Risk
Female,0,23,Month-to-month,75.0,1778.5,No,Medium Value,0.21357432,Low Risk
Female,0,64,Two year,20.2,1277.75,No,Medium Value,0.0019194229,Low Risk
Male,0,57,Two year,19.6,1170.55,No,Low Value,0.039440993,Low Risk
Female,1,1,Month-to-month,70.45,70.45,Yes,Low Value,0.6802133,High Risk
Female,1,72,Two year,88.05,6425.65,No,High Value,0.0021085297,Low Risk
Female,0,8,Month-to-month,71.15,563.65,Yes,Medium Value,0.37238988,Medium Risk
Female,0,61,Two year,101.05,5971.25,No,High Value,0.026789065,Low Risk
Male,0,64,One year,84.3,5289.05,No,High Value,0.021988537,Low Risk
Male,1,71,Two year,23.95,1756.2,No,Medium Value,0.002677599,Low Risk
Female,0,65,Two year,99.05,6416.7,No,High Value,0.03455675,Low Risk
Male,0,3,One year,19.6,61.35,No,Low Value,0.01688765,Low Risk
Male,0,1,Month-to-month,45.65,45.65,Yes,Low Value,0.83079106,High Risk
Male,0,30,One year,64.5,1929.95,No,Medium Value,0.043626416,Low Risk
Male,0,15,Month-to-month,69.5,1071.4,No,Medium Value,0.09236122,Low Risk
Female,0,8,Month-to-month,68.55,564.35,No,Medium Value,0.3341286,Low Risk
Male,0,7,Month-to-month,95.0,655.5,Yes,Medium Value,0.8280418,High Risk
Female,0,70,One year,108.15,7930.55,No,High Value,0.031430747,Low Risk
Male,0,62,Two year,86.1,5215.25,No,High Value,0.004628736,Low Risk
Female,0,6,Month-to-month,19.7,113.5,No,Low Value,0.09217806,Low Risk
Female,0,14,Month-to-month,80.9,1152.8,No,Medium Value,0.37625024,Medium Risk
Female,0,22,Month-to-month,84.15,1821.95,No,Medium Value,0.32359627,Low Risk
Male,0,22,One year,20.15,419.9,No,Low Value,0.005799496,Low Risk
Male,0,16,Two year,64.25,1024.0,No,Medium Value,0.011348631,Low Risk
Male,0,10,Two year,25.7,251.6,No,Low Value,0.028469203,Low Risk
Female,0,13,Month-to-month,56.0,764.55,No,Medium Value,0.20605396,Low Risk
Female,0,20,Month-to-month,82.4,1592.35,Yes,Medium Value,0.35371864,Medium Risk
Female,0,2,Month-to-month,69.7,135.2,No,Low Value,0.46642527,Medium Risk
Male,0,53,Two year,73.9,3958.25,No,High Value,0.007973864,Low Risk
Female,0,11,One year,20.6,233.9,No,Low Value,0.01752194,Low Risk
Male,0,69,Two year,19.9,1363.45,No,Medium Value,0.0025725462,Low Risk
Female,0,4,Month-to-month,70.9,273.0,Yes,Low Value,0.66961753,High Risk
Male,0,72,Two year,89.05,6254.45,No,High Value,0.0011961927,Low Risk
Male,1,58,Month-to-month,45.3,2651.2,Yes,Medium Value,0.64891386,Medium Risk
Female,0,16,Month-to-month,20.4,321.4,No,Low Value,0.08353091,Low Risk
Male,0,43,One year,84.25,3539.25,No,High Value,0.043182526,Low Risk
Female,0,2,Month-to-month,104.4,242.8,Yes,Medium Value,0.8946018,High Risk
Male,0,14,Two year,81.95,1181.75,No,Medium Value,0.008720382,Low Risk
Female,0,53,One year,94.85,5000.2,Yes,High Value,0.3593578,Medium Risk
Female,0,32,One year,20.55,654.55,No,Low Value,0.01203116,Low Risk
Female,0,34,Month-to-month,24.7,780.2,No,Low Value,0.057593383,Low Risk
Female,1,15,Month-to-month,74.45,1145.7,Yes,Medium Value,0.76726717,High Risk
Female,1,7,Month-to-month,76.45,503.6,Yes,Medium Value,0.36268833,Medium Risk
Female,0,15,Month-to-month,105.35,1559.25,No,High Value,0.37232688,Medium Risk
Male,0,61,One year,20.55,1252.0,No,Medium Value,0.0042960476,Low Risk
Female,0,1,Month-to-month,29.95,29.95,Yes,Low Value,0.37334406,Medium Risk
Female,0,1,Month-to-month,45.3,45.3,No,Low Value,0.44589782,Medium Risk
Male,0,8,Month-to-month,84.5,662.65,Yes,Medium Value,0.7465075,High Risk
Male,0,33,One year,74.75,2453.3,No,Medium Value,0.10486538,Low Risk
Female,0,13,Month-to-month,79.25,1111.65,Yes,Medium Value,0.7069158,High Risk
Female,0,1,Month-to-month,24.8,24.8,Yes,Low Value,0.6962471,High Risk
Male,0,20,Month-to-month,51.8,1023.85,No,Medium Value,0.19034226,Low Risk
Male,0,3,Month-to-month,30.4,82.15,No,Low Value,0.2562138,Low Risk
Female,0,13,One year,19.65,244.8,No,Low Value,0.03403671,Low Risk
Female,0,40,Month-to-month,56.6,2379.1,No,Medium Value,0.2976982,Low Risk
Male,0,43,One year,71.9,3173.35,No,Medium Value,0.080134556,Low Risk
Male,0,6,Month-to-month,91.0,531.0,Yes,Medium Value,0.83956796,High Risk
Female,0,69,Two year,19.75,1375.4,No,Medium Value,0.0061465106,Low Risk
Female,0,72,Two year,109.7,8129.3,No,High Value,0.019638533,Low Risk
Male,0,59,Two year,19.3,1192.7,No,Low Value,0.015521512,Low Risk
Female,0,20,Month-to-month,96.55,1901.65,No,High Value,0.6735271,High Risk
Male,0,24,Two year,24.1,587.4,No,Low Value,0.018999362,Low Risk
Male,0,59,Month-to-month,111.35,6519.75,No,High Value,0.16441391,Low Risk
Male,0,72,Two year,112.25,8041.65,No,High Value,0.005327751,Low Risk
Male,0,1,Month-to-month,20.75,20.75,No,Low Value,0.31598946,Low Risk
Female,0,27,One year,101.9,2681.15,No,High Value,0.16666004,Low Risk
Female,0,14,Month-to-month,80.05,1112.3,No,Medium Value,0.3355269,Low Risk
Male,0,71,Two year,105.55,7405.5,No,High Value,0.06539509,Low Risk
Male,0,13,Month-to-month,78.3,1033.95,No,Medium Value,0.339128,Low Risk
Male,0,44,Month-to-month,68.85,2958.95,No,Medium Value,0.20953403,Low Risk
Female,0,33,One year,79.95,2684.85,No,Medium Value,0.05491574,Low Risk
Male,0,72,Two year,55.45,4179.2,No,High Value,0.0056505636,Low Risk
Male,0,1,Month-to-month,79.9,79.9,Yes,Low Value,0.9507487,High Risk
Female,0,19,Month-to-month,106.6,1934.45,Yes,High Value,0.6782104,High Risk
Male,0,64,One year,102.45,6654.1,No,High Value,0.056062292,Low Risk
Male,0,2,Month-to-month,46.0,84.5,Yes,Low Value,0.5494671,Medium Risk
Female,0,1,Month-to-month,25.25,25.25,No,Low Value,0.43011743,Medium Risk
Male,0,61,Two year,19.75,1124.2,No,Medium Value,0.057518825,Low Risk
Female,0,29,One year,20.0,540.05,No,Low Value,0.011389262,Low Risk
Male,1,23,Month-to-month,86.8,1975.85,No,Medium Value,0.3429321,Low Risk
Female,0,57,Month-to-month,58.75,3437.45,No,High Value,0.06936845,Low Risk
Male,0,72,Two year,45.25,3139.8,No,High Value,0.004368415,Low Risk
Male,0,66,Two year,56.6,3789.2,No,High Value,0.006602864,Low Risk
Male,0,65,Two year,84.2,5324.5,No,High Value,0.013886575,Low Risk
Female,0,8,Month-to-month,80.0,624.6,No,Medium Value,0.61395824,Medium Risk
Female,0,4,Month-to-month,70.15,268.35,Yes,Low Value,0.6363661,Medium Risk
Female,0,71,Two year,24.75,1836.9,No,Medium Value,0.0037729589,Low Risk
Male,0,1,One year,20.2,20.2,No,Low Value,0.104435526,Low Risk
Male,0,4,Month-to-month,50.05,179.35,Yes,Low Value,0.26943576,Low Risk
Female,0,12,One year,19.35,219.35,No,Low Value,0.026017629,Low Risk
Male,0,24,One year,50.6,1288.75,No,Medium Value,0.05341148,Low Risk
Female,0,31,One year,81.15,2545.75,No,High Value,0.065298714,Low Risk
Female,0,1,Month-to-month,55.2,55.2,Yes,Low Value,0.66156656,High Risk
Male,0,30,Month-to-month,89.9,2723.15,No,High Value,0.21240996,Low Risk
Female,0,47,Two year,85.3,4107.25,No,High Value,0.008328954,Low Risk
Male,0,54,Two year,108.0,5760.65,No,High Value,0.37612462,Medium Risk
Male,0,50,Month-to-month,93.5,4747.5,No,High Value,0.08631954,Low Risk
Male,0,1,Month-to-month,84.6,84.6,Yes,Medium Value,0.7064756,High Risk
Female,0,72,Two year,20.25,1566.9,No,Medium Value,0.0019896794,Low Risk
Female,0,29,Month-to-month,25.15,702.0,No,Low Value,0.11561874,Low Risk
Male,0,2,Month-to-month,54.4,114.1,Yes,Low Value,0.70923406,High Risk
Female,0,10,Two year,29.6,299.05,No,Low Value,0.018121026,Low Risk
Male,0,18,Month-to-month,73.15,1305.95,No,Medium Value,0.44998568,Medium Risk
Female,1,11,Month-to-month,95.0,1120.3,Yes,Medium Value,0.83685684,High Risk
Male,0,16,Two year,19.75,284.35,No,Low Value,0.010520634,Low Risk
Female,0,72,Two year,86.6,6350.5,No,High Value,0.0018730315,Low Risk
Male,0,72,Two year,109.2,7878.3,No,High Value,0.01303839,Low Risk
Female,0,41,One year,74.7,3187.65,No,High Value,0.10639536,Low Risk
Female,1,65,Month-to-month,94.4,6126.15,No,High Value,0.1265429,Low Risk
Female,1,13,Month-to-month,54.8,731.3,No,Medium Value,0.18989074,Low Risk
Male,1,4,Month-to-month,75.35,273.4,No,Low Value,0.20477086,Low Risk
Male,0,41,One year,65.0,2531.8,No,Medium Value,0.14594936,Low Risk
Male,1,15,Month-to-month,74.4,1074.3,Yes,Medium Value,0.74624974,High Risk
Male,0,1,Month-to-month,48.55,48.55,Yes,Low Value,0.46774697,Medium Risk
Male,0,42,One year,99.0,4298.45,No,High Value,0.31131357,Low Risk
Female,0,51,One year,93.5,4619.55,No,High Value,0.08379817,Low Risk
Female,0,2,Month-to-month,70.4,147.15,Yes,Low Value,0.5623157,Medium Risk
Male,1,1,Month-to-month,40.2,40.2,Yes,Low Value,0.9190084,High Risk
Male,0,32,One year,83.7,2633.3,No,High Value,0.09662044,Low Risk
Male,0,10,Month-to-month,19.85,193.05,No,Low Value,0.104894616,Low Risk
Female,0,67,Two year,59.55,4103.9,No,High Value,0.014252427,Low Risk
Female,0,61,Two year,115.1,7008.15,No,High Value,0.015362219,Low Risk
Male,0,50,One year,114.35,5791.1,No,High Value,0.11998202,Low Risk
Female,0,2,Month-to-month,44.6,80.55,Yes,Low Value,0.61358464,Medium Risk
Female,1,29,Month-to-month,45.0,1228.65,No,Medium Value,0.20925081,Low Risk
Male,1,3,Month-to-month,41.15,132.2,Yes,Low Value,0.8026314,High Risk
Male,1,13,Month-to-month,106.9,1364.3,Yes,High Value,0.67243284,High Risk
Male,1,57,Month-to-month,89.85,4925.35,No,High Value,0.34165207,Low Risk
Female,0,31,Two year,49.85,1520.1,No,Medium Value,0.0061397767,Low Risk
Female,0,45,One year,113.3,5032.25,No,High Value,0.13939719,Low Risk
Female,0,61,Two year,88.1,5526.75,No,High Value,0.0014978523,Low Risk
Male,0,50,Two year,24.9,1195.25,No,Medium Value,0.023514446,Low Risk
Female,1,19,Month-to-month,105.0,2007.25,No,High Value,0.6823103,High Risk
Male,0,59,Two year,19.35,1099.6,Yes,Low Value,0.20886919,Low Risk
Female,0,71,Two year,24.25,1732.95,No,Medium Value,0.0013234284,Low Risk
Female,1,16,Month-to-month,94.45,1511.2,Yes,Medium Value,0.6422207,Medium Risk
Male,0,57,Two year,59.75,3450.15,No,Medium Value,0.009434717,Low Risk
Male,0,1,Month-to-month,24.8,24.8,Yes,Low Value,0.5771433,Medium Risk
Male,1,20,Month-to-month,107.05,2172.05,No,High Value,0.2904481,Low Risk
Male,0,1,Month-to-month,70.6,70.6,Yes,Low Value,0.7023539,High Risk
Male,0,5,Month-to-month,85.4,401.1,Yes,Medium Value,0.8652615,High Risk
Female,0,52,Month-to-month,105.05,5624.85,Yes,High Value,0.6578363,High Risk
Male,1,21,Month-to-month,64.95,1339.8,No,Medium Value,0.19345562,Low Risk
Male,0,14,Month-to-month,55.0,771.95,No,Medium Value,0.3498849,Low Risk
Female,0,5,Month-to-month,50.55,244.75,No,Low Value,0.2953269,Low Risk
Female,0,6,Month-to-month,55.15,322.9,No,Low Value,0.14518991,Low Risk
Female,0,10,Month-to-month,51.2,498.25,No,Low Value,0.16148657,Low Risk
Female,0,1,Month-to-month,25.4,25.4,No,Low Value,0.1539566,Low Risk
Female,0,68,Month-to-month,54.45,3687.75,No,Medium Value,0.016399771,Low Risk
Male,0,18,Month-to-month,95.15,1779.95,Yes,High Value,0.36032686,Medium Risk
Female,0,22,One year,76.0,1783.6,No,Medium Value,0.06392171,Low Risk
Female,0,20,Month-to-month,44.35,927.15,No,Low Value,0.18640013,Low Risk
Male,0,1,Month-to-month,70.0,70.0,Yes,Low Value,0.8184222,High Risk
Male,1,8,Month-to-month,74.5,606.55,Yes,Medium Value,0.58182454,Medium Risk
Male,0,10,Month-to-month,44.85,435.4,Yes,Low Value,0.37833253,Medium Risk
Male,1,24,Month-to-month,76.1,1712.7,Yes,Medium Value,0.42351684,Medium Risk
Male,0,35,One year,61.2,2021.2,No,Medium Value,0.023551427,Low Risk
Male,0,23,One year,86.8,1940.8,No,Medium Value,0.06133003,Low Risk
Female,1,6,Month-to-month,89.35,567.8,No,Medium Value,0.67075074,High Risk
Female,0,12,Month-to-month,19.7,220.35,No,Low Value,0.06730312,Low Risk
Male,0,1,Month-to-month,20.25,20.25,No,Low Value,0.23412032,Low Risk
Female,0,71,Two year,76.05,5436.45,No,High Value,0.029268792,Low Risk
Male,1,35,Month-to-month,100.8,3437.5,No,High Value,0.45414373,Medium Risk
Male,0,40,Month-to-month,74.55,3015.75,No,Medium Value,0.21772572,Low Risk
Female,0,1,Month-to-month,73.6,73.6,Yes,Low Value,0.73493654,High Risk
Male,0,23,One year,64.9,1509.8,No,Medium Value,0.120994166,Low Risk
Female,1,4,Month-to-month,95.45,396.1,Yes,Medium Value,0.87039804,High Risk
Male,0,4,Month-to-month,90.4,356.65,No,Medium Value,0.70787334,High Risk
Female,0,68,Two year,60.3,4109.0,No,High Value,0.004653146,Low Risk
Male,0,38,Month-to-month,81.85,3141.7,No,Medium Value,0.24842563,Low Risk
Male,0,52,Two year,24.8,1229.1,No,Medium Value,0.011530052,Low Risk
Male,1,32,Month-to-month,74.9,2303.35,Yes,Medium Value,0.65640557,High Risk
Male,0,29,Two year,75.55,2054.4,No,Medium Value,0.0048709316,Low Risk
Male,1,38,Month-to-month,101.15,3741.85,No,High Value,0.25014538,Low Risk
Male,0,48,One year,78.75,3682.45,No,High Value,0.05954128,Low Risk
Female,0,1,Month-to-month,19.25,19.25,No,Low Value,0.2152501,Low Risk
Female,0,22,Month-to-month,89.05,1886.25,No,Medium Value,0.24762513,Low Risk
Female,0,43,Two year,115.05,4895.1,No,High Value,0.17064178,Low Risk
Female,1,5,Month-to-month,69.35,341.6,No,Low Value,0.42786002,Medium Risk
Male,0,5,Month-to-month,80.6,415.55,Yes,Medium Value,0.6279355,Medium Risk
Male,0,51,One year,110.05,5686.4,No,High Value,0.12545857,Low Risk
Male,0,71,Two year,19.9,1355.1,No,Medium Value,0.0034565327,Low Risk
Female,0,38,One year,80.3,3058.65,Yes,High Value,0.55679816,Medium Risk
Male,1,24,Month-to-month,93.15,2231.05,Yes,High Value,0.45875576,Medium Risk
Male,0,35,Month-to-month,91.5,3236.35,No,High Value,0.104754634,Low Risk
Female,1,54,One year,82.45,4350.1,Yes,High Value,0.4965468,Medium Risk
Female,0,72,Two year,60.0,4264.0,No,High Value,0.013849131,Low Risk
Male,0,1,Month-to-month,44.8,44.8,No,Low Value,0.5350005,Medium Risk
Female,0,9,One year,48.6,422.3,No,Low Value,0.045673497,Low Risk
Male,0,69,Two year,60.05,4176.7,No,High Value,0.0045912326,Low Risk
Female,0,52,Month-to-month,102.7,5138.1,No,High Value,0.18793894,Low Risk
Female,1,11,Month-to-month,82.9,880.05,No,Medium Value,0.48479602,Medium Risk
Female,1,2,Month-to-month,70.35,139.05,Yes,Low Value,0.5880981,Medium Risk
Female,1,28,Month-to-month,35.9,973.65,No,Low Value,0.24282818,Low Risk
Female,1,17,Month-to-month,82.65,1470.05,No,Medium Value,0.27733034,Low Risk
Female,0,35,Two year,19.85,739.35,No,Low Value,0.009857663,Low Risk
Female,0,8,One year,19.2,161.95,No,Low Value,0.013999387,Low Risk
Male,0,46,One year,94.9,4422.95,No,High Value,0.08537106,Low Risk
Female,0,7,Month-to-month,73.85,511.25,Yes,Low Value,0.7293653,High Risk
Female,0,2,Month-to-month,80.6,155.8,Yes,Low Value,0.7345861,High Risk
Male,0,68,One year,75.8,5293.95,Yes,High Value,0.4046315,Medium Risk
Female,0,43,Two year,104.6,4759.85,Yes,High Value,0.5116772,Medium Risk
Female,0,68,Two year,88.15,6148.45,No,High Value,0.0090743415,Low Risk
Female,0,36,Month-to-month,94.8,3565.65,No,High Value,0.17291553,Low Risk
Male,0,63,Month-to-month,103.4,6603.0,Yes,High Value,0.54336894,Medium Risk
